,OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST
124108,124109,12240428732112948740,12,0,54,0,2024,4,14,1,3,3,2,0,0,1,1,0,0,0,0,"776614,995900000445545","5812174,244400000199676",13.065588760000026,52.389797618000046,1
124122,124123,12240416732109923780,12,0,54,0,2024,4,8,3,3,5,3,0,1,1,0,0,0,0,1,"776437,872999999672174","5812466,701799999922514",13.063233809000053,52.392509708000034,1
124130,124131,12240313732107859870,12,0,54,0,2024,3,9,4,3,3,2,0,0,1,1,0,0,0,0,"775265,960799999535084","5813409,112400000914931",13.046829454000033,52.401551346000076,1
124187,124188,12240307732103849440,12,0,54,0,2024,3,8,5,3,5,2,0,0,1,1,0,0,0,0,"773329,428399999625981","5815038,288300000131130",13.019765929000073,52.41713219700006,1
124257,124258,12240624732109072780,12,0,54,0,2024,6,16,2,3,0,1,0,0,1,0,1,0,0,0,"776253,214100000448525","5812639,306399999186397",13.060669289000032,52.39415074600004,1
124432,124433,12240216732107812160,12,0,54,0,2024,2,7,6,3,5,3,0,1,1,1,0,0,0,0,"775036,526300000026822","5812859,243899999186397",13.043014064000033,52.39673544000004,1
124589,124590,12240602732103027510,12,0,54,0,2024,6,11,1,3,5,2,0,0,1,1,0,0,0,0,"773333,376699999906123","5815036,489800000563264",13.019822372000021,52.417114095000045,1
124613,124614,12240425732109942660,12,0,54,0,2024,4,10,5,3,5,2,0,1,1,0,0,0,0,1,"775992,178500000387430","5812719,664899999275804",13.05690893800005,52.395002979000026,1
124742,124743,12240111732107745190,12,0,54,0,2024,1,17,5,3,5,3,2,1,1,0,0,0,0,1,"775063,693699999712408","5812887,752000000327826",13.043435749000025,52.39697745500007,1
124838,124839,12240514732109985070,12,0,54,0,2024,5,9,3,3,3,6,0,0,1,0,0,0,0,0,"775982,679800000041723","5812711,412799999117851",13.056762896000066,52.39493376200005,1
124840,124841,12240419732105930950,12,0,54,0,2024,4,14,6,3,5,3,0,0,1,1,0,0,0,0,"777234,456199999898672","5814290,617799999192357",13.076419918000056,52.40846325200005,1
124899,124900,12240425732112942910,12,0,54,0,2024,4,13,5,3,5,2,0,1,1,1,0,0,0,0,"776615,193300000391901","5812184,944299999624491",13.065600484000072,52.38989347200004,1
124922,124923,12240411732107914290,12,0,54,0,2024,4,11,5,3,5,3,0,0,1,1,0,0,0,0,"775177,855600000359118","5813007,649299999698997",13.045207873000038,52.397995337000054,1
125654,125655,12240625732100075110,12,0,54,0,2024,6,18,3,3,4,6,0,0,1,0,0,0,0,0,"776158,666000000201166","5812671,120799999684095",13.05930952500006,52.39448372800007,1
125805,125806,12240328732111887780,12,0,54,0,2024,3,18,5,3,3,2,1,0,1,1,0,0,0,0,"777253,241999999620020","5814305,848099999129772",13.076707996000039,52.40859031700006,1
126253,126254,12240531732104020660,12,0,54,0,2024,5,7,6,3,5,2,0,0,1,0,0,0,0,1,"775370,892799999564886","5817283,469100000336766",13.051556547000075,52.43624322000005,1
126316,126317,12240321732107875210,12,0,54,0,2024,3,18,5,3,5,3,1,0,1,1,0,0,0,0,"775188,347699999809265","5813018,321900000795722",13.045370461000061,52.39808577600007,1
126455,126456,12240430732103951990,12,0,54,0,2024,4,11,3,3,5,3,0,0,1,1,0,0,0,0,"773593,035299999639392","5814903,770099999383092",13.023522357000047,52.41579410000003,1
126950,126951,12241203732130412630,12,0,54,0,2024,12,7,3,3,5,2,0,0,1,1,0,0,0,0,"778254,194500000216067","5810437,413699999451637",13.088173530000063,52.37339251000003,1
127040,127041,12241126732100395240,12,0,54,0,2024,11,16,3,3,5,2,2,0,1,1,0,0,0,0,"778789,925099999643862","5809401,460300000384450",13.095162182000024,52.36383047500004,1
127187,127188,12241113732128367660,12,0,54,0,2024,11,16,4,3,0,3,1,0,1,0,0,1,0,0,"779619,371700000017881","5808713,935100000351667",13.106739472000072,52.357242893000034,1
127188,127189,12241113732109386000,12,0,54,0,2024,11,12,4,2,3,2,0,0,1,0,0,0,1,0,"775060,390200000256300","5812884,122500000521541",13.043384339000056,52.396946565000064,1
127195,127196,12241112732104385990,12,0,54,0,2024,11,10,3,2,0,1,0,0,1,0,0,0,0,0,"775709,465099999681115","5815616,231899999082088",13.05514983200004,52.421121249000066,1
127223,127224,12241107732104355450,12,0,54,0,2024,11,10,5,3,0,2,0,1,1,1,0,0,0,0,"775750,753200000151992","5814204,326999999582767",13.054592123000077,52.40843877200007,1
127442,127443,12241018732104317630,12,0,54,0,2024,10,15,6,3,4,3,0,0,1,1,0,0,0,0,"775751,036700000055134","5814206,215399999171495",13.054597836000028,52.408455564000064,1
127443,127444,12241018732103317370,12,0,54,0,2024,10,12,6,3,5,2,0,0,1,1,0,0,0,0,"773587,218700000084937","5814906,806600000709295",13.02343952900003,52.415824239000074,1
127493,127494,12241015732109307630,12,0,54,0,2024,10,14,3,3,0,1,0,0,1,0,0,0,0,0,"776480,024699999950826","5812306,598400000482798",13.06371960100006,52.39105266900003,1
127571,127572,12241009732108296490,12,0,54,0,2024,10,8,4,3,5,3,0,1,1,1,0,0,0,0,"774403,406399999745190","5812232,802200000733137",13.033219303000067,52.39143505000004,1
127582,127583,12241008732108296760,12,0,54,0,2024,10,12,3,3,0,7,0,1,1,0,0,0,0,0,"773708,250099999830127","5811429,210899999365211",13.022372982000036,52.384576078000066,1
127620,127621,12241005732108288000,12,0,54,0,2024,10,12,7,3,5,2,0,0,1,1,0,0,0,0,"774351,957999999634922","5812183,312799999490380",13.032424626000022,52.39101699500003,1
127628,127629,12241004732109289660,12,0,54,0,2024,10,15,6,3,5,2,0,1,1,1,0,0,0,0,"775065,292000000365078","5812857,686799999326468",13.043434496000032,52.39670702900003,1
127629,127630,12241004732104286520,12,0,54,0,2024,10,14,6,3,3,2,0,1,1,1,0,0,0,0,"775678,093000000342727","5815851,751000000163913",13.054883751000034,52.42324914000005,1
127673,127674,12240930732103272910,12,0,54,0,2024,9,23,2,3,0,1,2,1,1,0,0,0,0,0,"775465,840099999681115","5817028,439300000667572",13.052739559000031,52.43390835100007,1
127732,127733,12240926732128268120,12,0,54,0,2024,9,14,5,3,5,3,0,0,1,0,0,0,0,1,"779597,483500000089407","5808699,459200000390410",13.106406846000027,52.357124242000054,1
127855,127856,12240918732128252950,12,0,54,0,2024,9,16,4,3,3,2,0,0,1,1,0,0,0,0,"779978,109000000171363","5809071,527799999341369",13.11229166000004,52.36026650600007,1
127937,127938,12240912732100394330,12,0,54,0,2024,9,15,5,3,0,7,0,0,1,0,0,0,0,1,"778671,401999999769032","5809658,126800000667572",13.093639103000044,52.366192365000074,1
127968,127969,12240910732107235730,12,0,54,0,2024,9,8,3,3,5,2,0,0,1,0,0,0,0,1,"775046,638000000268221","5812869,571799999102950",13.043170782000061,52.39682298200006,1
128063,128064,12240905732103226270,12,0,54,0,2024,9,15,5,3,3,6,0,0,1,0,0,0,0,0,"773915,293899999931455","5814736,073400000110269",13.02811160500005,52.41412899100004,1
128129,128130,12240902732101219320,12,0,54,0,2024,9,15,2,3,5,2,0,0,1,1,0,0,0,0,"769053,607099999673665","5820579,764200000092387",12.961509693000039,52.46895150100005,1
128168,128169,12240831732109210090,12,0,54,0,2024,8,0,7,3,0,7,2,0,1,0,0,0,0,0,"774551,123100000433624","5812380,443499999120831",13.035505578000027,52.392685087000075,1
128191,128192,12241025732105331800,12,0,54,0,2024,10,16,6,3,5,3,0,0,1,1,0,0,0,0,"776933,920400000177324","5813783,800000000745058",13.07159383000004,52.404070413000056,1
128226,128227,12241124732111377710,12,0,54,0,2024,11,13,1,3,5,2,0,1,1,1,0,0,0,0,"776850,713200000114739","5813579,985799999907613",13.070205350000037,52.402284758000064,1
128344,128345,12240820732102192220,12,0,54,0,2024,8,20,3,3,4,6,2,0,1,0,0,0,0,0,"774925,748200000263751","5818568,590900000184774",13.04608223300005,52.44799196500003,1
128438,128439,12240815732102183340,12,0,54,0,2024,8,13,5,3,5,3,0,0,1,1,0,0,0,0,"778971,289599999785423","5821436,482100000604987",13.10785241000002,52.471659368000076,1
128525,128526,12240811732105175260,12,0,54,0,2024,8,18,1,3,4,6,0,0,1,0,0,0,0,0,"775763,520999999716878","5815350,376800000667572",13.055723602000057,52.41870988100004,1
128527,128528,12240811732102175050,12,0,54,0,2024,8,13,1,3,5,3,0,0,1,1,0,0,0,0,"779136,637900000438094","5821513,419700000435114",13.110344746000067,52.47226480100005,1
128528,128529,12240811732101174890,12,0,54,0,2024,8,9,1,2,4,6,0,0,1,0,0,0,0,0,"767811,074799999594688","5821670,956299999728799",12.944138268000074,52.47934892500007,1
128540,128541,12240810732105173490,12,0,54,0,2024,8,16,7,3,0,6,0,0,1,1,0,0,0,0,"778062,441899999976158","5814895,621300000697374",13.089063459000045,52.41346865500003,1
128643,128644,12240805732105164250,12,0,54,0,2024,8,20,2,2,5,3,1,0,1,0,0,1,0,0,"777006,502799999900162","5813914,001700000837445",13.072765742000058,52.40520129600003,1
128767,128768,12240730732109149300,12,0,54,0,2024,7,16,3,3,5,2,0,0,1,0,0,0,0,1,"775405,318199999630451","5812795,382099999114871",13.048368100000062,52.39597740800008,1
128885,128886,12240723732110135800,12,0,54,0,2024,7,9,3,3,0,7,0,0,1,1,0,0,0,0,"775728,449900000356138","5814039,813999999314547",13.05412958900007,52.40697468400003,1
